Title,STATUS,Coupa Req,PO ID,Cost Total,Coupa Status,Submitted by,GCU Contact,Date Submitted,Business Need,Approval,Licensing Requirements,Licensing Requirements Explain,URL Product,Notes,Product Logo,Primary Approver,Point of Contact,Name of Primary Contact,SME,M365 Replace,Description,Primary IT Contact,Support Department Manager,Who uses this application?,App Status,Purpose,Origin,AppOwnerOrganization,App USE Org,App Owner Department,Name of Software Company,Departments Use the App,Cost Requirements,Cost Requirements Explain,Security Approval,Date of Security Review,URL to Governance System,Business Engagement QA,Business Engagement Notes,Business Engagement Approval,Who Uses,Dept Use-Which Dept,Software Version Initial,Software Version - Today,Support Department,Primary Business Administrator,Date of Launch,Date of Renewal,Department Renewal,Support Details,3rd Party Patching Requirements,3rd Party Vendor Website,Renewal Date,Item Type,Path
Aha!,Sam Done,188260,#180662,1258.72,Ordered,,Mark Fallows,7/16/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Aha!.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-417",,,,,,Mark Fallows,,,,Existing,E-Learning Services,Open Use,GCE,GCE,,Aha! Labs Inc,,Unknown,,Yes,,,,,,,,,,,,7/16/20,7/16/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
AirMedia,Sam Done,,,,,,,8/11/20,Presentation software.,Approved,Unknown,,,Request 1163122 Also see Crestron Airmedia,"{""type"":""thumbnail"",""fileName"":""Creseton AirMedia.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909",,,,,,,,,,Existing,,Open Use,GCE,,,Creston Electronics Inc,,Unknown,,,,,,,,,,,,,,8/11/20,8/11/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
A-L Tier II,Sam Done,190661,#182440,1500,Ordered,,Tira Montgomery,9/1/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""A-LTierII.jfif"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c9",,,,,,Tira Montgomery,,,,Existing,Event Services,Open Use,GCU,GCU,,Paciolan LLC,,Unknown,,Yes,,,,,,,,,,,,9/1/20,9/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Alertus,Sam Done,,,,,,,1/4/20,Allows Mass alert by IT Security to Alert all computers on the Network,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Alertus.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Alliance Software,Sam Done,192626,#183930,15750,Ordered,,Terry Guerrero,10/8/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Alliance Software.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909",,,,,,Terry Guerrero,,,,Existing,Onsite Security Software,Open Use,GCU,GCU,,Cyrun,,Unknown,,Yes,,,,,,,,,,,,10/8/20,10/8/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Analyzer Software,Sam Done,186195,#178951,10875,Ordered,Dena Wingert (GCE),,6/4/20,,Approved,Unknown,,,,,,Dena Wingert (GCE);#34,,,,,,,,Existing,Internal Audit,Open Use,GCE,GCE,,"Arbutus Software, Inc",,Unknown,,Yes,,,,,,,,,,,,6/4/20,6/4/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Android Studio,Sam Done,,,,,,,3/11/20,Android,Approved,Unknown,,,Request 1086111,"{""type"":""thumbnail"",""fileName"":""Android Studio.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,,,,,Existing,,Open Use,GCE,,,Android,,Unknown,,,,,,,,,,,,,,3/11/20,3/11/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Apex 3D Printing,Sam Done,,,,,,,8/6/19,3D Printing software for Airwolf 3D Printers.,Approved,No,,https://airwolf3d.com/3d-printing-software/,736868 -  Approved via Email,"{""type"":""thumbnail"",""fileName"":""Apex 3D Printing.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e",,,,,,,,,,Existing,,Open Use,GCE,,,Apex,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Apex Airwolf,Sam Done,,,,,,,2/20/18,3D-Printing Software developed for Airwolf 3D Printers.,Approved,No,,https://airwolf3d.com/3d-printing-software/,754545 - Operations,,,,,,,,,,,Existing,,Open Use,GCE,,,Apex,,Unknown,,,,,,,,,,,,,,2/20/18,2/20/18,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
apowersoft,Sam Done,,,,,,,9/20/17,,Pending Approval,Unknown,,,Request 686623 ,,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/28/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Apple Internet Accounts,Sam Done,,,,,,,5/4/22,"Third party email app
",Approved,Unknown,,,RQ 184426,,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/28/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
