Title,Name of Software Company,,GCU Contact,Date Submitted,Date of Launch,Date of Renewal
Endnote (plug-in works with Write-n-Cite),,,,8/6/19,11/29/22,
Enterprise Cloud Subscription,Enterprise Cloud,,,12/1/20,12/1/20,12/1/20
Enterprise Protectoin,Eplus Technology Inc,,,2/14/20,2/14/20,2/14/20
Epi Info,,,,8/6/19,8/6/19,8/6/19
eRoom,,,,8/6/19,8/6/19,8/6/19
eSpatial,eSpatial Inc,,,2/13/20,2/13/20,2/13/20
ESRI Licensing,ESRI,3000,,9/22/20,9/22/20,9/22/20
Essentials Team Olympic,Front Rush LLC,,,1/5/21,1/5/21,1/5/21
E-Sword,,,,8/6/19,8/6/19,8/6/19
Evaluation Kit,Watermark Insights LLC,4725,,4/28/20,4/28/20,4/28/20
Evaluation Kit,Watermark Insights LLC,,,1/4/21,1/4/21,1/4/21
Event Booking,"Cvent, Inc",,,4/29/20,4/29/20,4/29/20
Event Booking,EventBooking.com,,,5/11/20,5/11/20,5/11/20
Evernote,,,,11/29/22,11/29/22,
Evidence Sync,,,,12/16/15,12/16/15,12/16/15
Exam View,,,,1/24/20,1/1/20,1/1/20
Exchange admin,,,,6/15/22,6/15/22,
Exchange admin,,,,1/25/20,1/1/20,1/1/20
Expert TA Online,Expert TA LLC,13000,,12/22/20,12/22/20,12/22/20
Extended DISX,Extended DISC North America Inc,,,11/20/20,11/20/20,11/20/20
Extensis,Celartem Inc,,,4/16/20,4/16/20,4/16/20
EZProxy,"Online Computer Library Center, Inc",5776.32,,7/22/20,7/22/20,7/22/20
F.lux,,,,8/6/19,11/29/22,
Facilities Management,RSP Architects LTD,,,4/27/20,4/27/20,4/27/20
FastRecruit Plus,Fast Model Technologies LLC,11000,,6/19/20,6/19/20,6/19/20
FastScout Plus,Fast Model Technologies LLC,7000,Don Drysdale,10/2/20,10/2/20,10/2/20
FedEx Ship manager,,,,8/6/19,8/6/19,8/6/19
Fedex Toolbox,,,,6/4/19,6/4/19,6/4/19
Fiddler,,,,10/17/16,10/17/16,10/17/16
FileBound,Western Office Systems,,,11/30/20,11/30/20,11/30/20
FileBound,Western Office Systems,38469.04,,3/19/20,3/19/20,3/19/20
FileBound,,,,1/26/20,1/1/20,1/1/20
FileZilla,,,,1/27/20,1/1/20,1/1/20
FIM – GCU – Forefront Identity Manager,,,,2/16/20,1/1/20,1/1/20
Final Cut Pro,"Apple, Inc.",299.99,Tira Montgomery,10/5/20,10/5/20,10/5/20
Finale Notepad,,,,8/6/19,8/6/19,8/6/19
Firefox,,,,12/29/21,11/29/22,
FirstCom Music,Music Z Tunes LLC,,Cienna Hernandez,3/6/20,3/6/20,3/6/20
FITBIT,,,,5/3/16,5/3/16,5/3/16
FlashLink Program Manager,,,,2/28/22,11/29/22,
FLEX GTS,Flex Rental Solutions LLC,,Ha Cao,7/27/20,7/27/20,7/27/20
Flipgrid,,,,4/28/22,11/29/22,
FM,,,,1/28/20,1/1/20,1/1/20
FM Systems,FM:Systems Group LLC,4901.32,,10/15/20,10/15/20,10/15/20
FM Systems,FM: Systems Group LLC,61249.53,Tira Montgomery,7/29/20,7/29/20,7/29/20
Font Explorer (Trial),,,,8/6/19,11/29/22,
Font Explorer Pro,,,,8/6/19,11/29/22,
FontLab7,,,,3/19/21,11/29/22,
Fontself,,,,3/19/21,11/29/22,
Forticlient,,,,10/29/20,11/29/22,
Four Winds,"ConnectedSign, LLC",44995.35,,12/9/20,12/9/20,12/9/20
Frame.io Transfer,,,,11/5/20,11/29/22,
Freedom Scientific (JAWS),,,,8/6/19,8/6/19,8/6/19
"Frontline Plus Solver, Excel Add-On",,,,8/6/19,8/6/19,8/6/19
FSI,,,,1/29/20,1/1/20,1/1/20
FTP,FTP Today,3000,,2/26/20,2/26/20,2/26/20
Fujitsu ScanSnap Software for S1500,,,,2/24/21,11/29/22,
FullStory,FullStory Inc,18725.5,,9/24/20,9/24/20,9/24/20
FullStory,FullStory Inc,42464.3,,6/29/20,6/29/20,6/29/20
Fundraker,eTeamSponsor,14995,,8/10/20,8/10/20,8/10/20
Fusion (Innosoft),,,,8/6/20,11/29/22,
Fusion (Rock Gym Pro),,,,6/24/20,6/24/20,6/24/20
Fuze,,,,8/6/19,11/29/22,
G Power,,,,8/6/19,11/29/22,
Game Plan,Game Theory Group International,6356,Don Drysdale,7/14/20,7/14/20,7/14/20
GameSalad,,,,1/28/16,1/28/16,1/28/16
Garmin Express,,,,10/23/16,10/23/16,10/23/16
Gartner,"Gartner, Inc",41050,Ryan Brown,9/26/19,9/26/19,9/26/19
Gaumard,Gaumard Scientific Co Inc,1080.58,Vanessa Slaughter,9/11/19,9/11/19,9/11/19
GaussView,Gaussian,3250,Jessica Silva,3/27/20,3/27/20,3/27/20
GCE.com,,,,1/31/20,1/1/20,1/1/20
GCU Marketing,,,,2/2/20,1/1/20,1/1/20
GCU.edu,,,,1/30/20,1/1/20,1/1/20
Gcumail.gcu.edu,,,,2/1/20,1/1/20,1/1/20
GetList,,,,2/3/20,1/1/20,1/1/20
GGLEAP,GGCircuit LLC,3000,Ha Cao,11/30/20,11/30/20,11/30/20
Gimp,,,,8/6/19,11/29/22,
GitHub,"GitHub, Inc",,,1/15/20,1/15/20,1/15/20
Go Fuse,,,,7/17/15,7/17/15,7/17/15
Google Analytics Debugger,,,,3/1/22,11/29/22,
Google Earth,,,,8/6/19,8/6/19,8/6/19
GoPro Studio,,,,8/6/19,11/29/22,
GoToMeeting,,,,8/6/19,8/6/19,8/6/19
GP Intercompany Posting,Nolan Business Solutions,,,9/16/19,9/16/19,9/16/19
GradeAssist,,,,11/6/19,11/29/22,
Great Plains,Microsoft Dynamics,,,5/20/20,5/20/20,5/20/20
Great Plains,,,,2/4/20,1/1/20,1/1/20
Greenshot,,,,6/22/21,11/29/22,
G-Suite,Google,,,6/2/20,6/2/20,6/2/20
health and wellness app,BetterTime Co,,Jessica Defoy,7/20/20,7/20/20,7/20/20
HID Origo,HID Global Corporation,,,4/16/20,4/16/20,4/16/20
Hog 4 PC,,,,8/6/19,11/29/22,
Host Analytics,,,,8/6/19,8/6/19,8/6/19
Host Analytics,,,,2/5/20,1/1/20,1/1/20
Hotjar,Hotjar LTD,5301,,5/15/20,5/15/20,5/15/20
HP Scanners/Printers,,,,8/6/19,8/6/19,8/6/19
Huddly,,,,9/1/21,11/29/22,
Hudl Gold,Hudl,,,7/7/20,7/7/20,7/7/20
iAuditor,SafetyCulture Pty Ltd,,,2/21/20,2/21/20,2/21/20
