Title,"Cost Total","GCU Contact","Date Submitted","Name of Software Company","Date of Launch","Date of Renewal"
"HID Origo",7500,,4/16/20,"HID Global Corporation",4/16/20,4/16/20
"Hog 4 PC",,,8/6/19,,11/29/22,
"Host Analytics",,,8/6/19,,8/6/19,8/6/19
"Host Analytics",,,2/5/20,,1/1/20,1/1/20
Hotjar,5301,,5/15/20,"Hotjar LTD",5/15/20,5/15/20
"HP Scanners/Printers",,,8/6/19,,8/6/19,8/6/19
Huddly,,,9/1/21,,11/29/22,
"Hudl Gold",,,7/7/20,Hudl,7/7/20,7/7/20
iAuditor,684,,2/21/20,"SafetyCulture Pty Ltd",2/21/20,2/21/20
Igloo,151622.5,,2/21/20,"Igloo, Inc",2/21/20,2/21/20
"Igloo File Manager",,,2/22/22,,11/29/22,
"Image Credit",,,1/23/20,iStock,1/23/20,1/23/20
"Imaging Systems",,,3/14/20,"Analytical Technologies Group LLC",3/14/20,3/14/20
iMedRIS,43104,,4/23/20,"iMedRIS Data Corporation",4/23/20,4/23/20
ImmediaCare,27700,"Ryan Masterson",12/7/20,"Immedia LLC",12/7/20,12/7/20
"Immersive Reader",,,6/19/19,,11/29/22,
"In Reach Sync",,,8/6/19,,8/6/19,8/6/19
InaPort,,,11/23/20,"InaPlex, Inc",11/23/20,11/23/20
"Incident Response Consulting",3500,,11/6/19,"Chu Solutions LLC",11/6/19,11/6/19
InDesign,101.25,InDesign,12/10/20,"Software One Inc",12/10/20,12/10/20
Ingenius,20000,,4/13/20,"Ingeniux Corporation",4/13/20,4/13/20
Inkscape,,,8/2/21,,11/29/22,
"Innosoft Fusion",,,7/31/20,"Innosoft Canada Inc",7/31/20,7/31/20
"Innosoft FusionGO App",2000,"Jessica Defoy",4/2/20,"InnoSoft Canada Inc",4/2/20,4/2/20
"Insight SAP",28830.35,"Insight SAP",11/10/20,"Insigh Public Sector",11/10/20,11/10/20
"Insignia NS - PU 96203",,,8/6/19,,11/29/22,
"Insta360 Stitcher",,,11/3/22,,11/29/22,
Inswan,,,8/21/20,,8/21/20,8/21/20
"Intel Quartus Prime",,,5/10/22,,11/29/22,
"IntelliJ IDEA",,,11/24/21,,11/29/22,
"Inventory Logistics",,,7/8/20,"Management One Ltd",7/8/20,7/8/20
Ipay,,,1/3/20,,1/1/20,1/1/20
"IPEVO Presenter",,,8/6/19,,11/29/22,
iPrintAndScan,,,6/9/22,,11/28/22,
"Irise Reader",,,8/6/19,,11/29/22,
"i-Sight Case Management",15000,,7/8/20,"Customer Expressions Corp",7/8/20,7/8/20
IssueTrak,345,,2/24/20,"IssueTrak Inc",2/24/20,2/24/20
IssueTrak,,,2/6/20,,1/1/20,1/1/20
"IT Consulting",,,4/9/20,"Ashworth Consulting LLC",4/9/20,4/9/20
iTunes,,,2/7/20,,1/1/20,1/1/20
"Itunes(IOS Users)",,,8/6/19,,8/6/19,8/6/19
IWMS,5762,"Elizabeth Guerrero",3/20/20,"RSP Architects LTS",3/20/20,3/20/20
JAMF,8900,,8/6/20,"JAMF Software LLC",8/6/20,8/6/20
"Java JDK 16",,,5/20/21,,11/29/22,
JES,,,8/6/19,,11/29/22,
JetBrains,3569,,2/13/20,"JetBrains Americas Inc",2/13/20,2/13/20
Jing,,,8/6/19,,11/29/22,
JIRA,,,10/6/20,JIRA,10/6/20,10/6/20
JMP,,,8/6/19,,8/6/19,8/6/19
"Jtech Commander Echo Downloader",,,8/6/19,,8/6/19,8/6/19
"Judial Educator",,,7/23/20,"Reslife.Net LTD",7/23/20,7/23/20
Jumpshare.app,,,1/20/21,,11/29/22,
Jython,,,8/6/19,,11/29/22,
K40Whisperer,,,8/2/21,,11/29/22,
Kahoot.IT,180,,5/14/20,Kahoot!,5/14/20,5/14/20
"Key Systems GFMS V 3.0",,,3/23/22,,11/29/22,
"Keyence VHX-7000_970F_COMMSOFT_1_4_23_17_0",,,5/6/21,,11/29/22,
"Keylogging software",,,8/6/19,,11/29/22,
Kurzweil,,,8/6/19,,8/6/19,8/6/19
KwikTag,23690,,2/24/20,"ImageTag, Inc",2/24/20,2/24/20
"LabChart Support",,,2/18/20,,11/29/22,
Labsoft,,,8/6/19,,8/6/19,8/6/19
LabView,5980,,11/9/20,"National Instruments",11/9/20,11/9/20
LabView,,,8/6/19,,8/6/19,8/6/19
"LambdaTest LIVE",180,,11/24/20,LambdaTest,11/24/20,11/24/20
LAPS,,,2/8/20,,1/1/20,1/1/20
LastPass,1671.9,,8/4/20,"LogMeIn USA Inc",8/4/20,8/4/20
Launchy,,,8/6/19,,11/29/22,
"Learning Management System",79500,,7/7/20,"Prometheus Development Inc",7/7/20,7/7/20
Leica,,,8/6/19,,8/6/19,8/6/19
"Liberty Player",,,8/6/19,,8/6/19,8/6/19
Lightwright,,,4/1/20,,11/29/22,
"LinkedIn Sales Navigator",15200,,11/5/20,"LinkedIn Corporation",11/5/20,11/5/20
"Linux Academy",1476,,11/3/20,"Linux Academy, Inc",11/3/20,11/3/20
